0,1,2,3,4,5
Suzuki Alto Sport 2007,"87,000 km","Kurunegala, Cars","Rs 2,265,000",3 hours,https://ikman.lk/en/ad/suzuki-alto-sport-2007-for-sale-kurunegala-5
Suzuki Alto 2002,"175,000 km","Gampaha, Cars","Rs 2,800,000",5 hours,https://ikman.lk/en/ad/suzuki-alto-auto-gear-2002-for-sale-gampaha
Suzuki Alto 2017,"72,450 km","Colombo, Cars","Rs 5,465,000",6 hours,https://ikman.lk/en/ad/suzuki-alto-2017-for-sale-colombo-951
Suzuki Alto 800Lxi 2014,"125,000 km","Kandy, Cars","Rs 3,250,000",12 hours,https://ikman.lk/en/ad/suzuki-alto-800lxi-2014-for-sale-kandy-5
Suzuki Alto 2015,"65,000 km","Gampaha, Cars","Rs 3,340,000",13 hours,https://ikman.lk/en/ad/suzuki-alto-2015-for-sale-gampaha-4586
Suzuki Alto 2015,"128,000 km","Matara, Cars","Rs 3,255,000",14 hours,https://ikman.lk/en/ad/suzuki-alto-2015-for-sale-matara-1176
Suzuki Alto LXI 2015,"77,780 km","Kegalle, Cars","Rs 3,375,000",16 hours,https://ikman.lk/en/ad/suzuki-alto-lxi-2015-for-sale-kegalle-39
Suzuki Alto japan 2016,"57,000 km","Gampaha, Cars","Rs 5,490,000",16 hours,https://ikman.lk/en/ad/suzuki-alto-japan-2016-for-sale-gampaha-199
Maruti Suzuki Alto 2011,"141,009 km","Kurunegala, Cars","Rs 2,550,000",1 day,https://ikman.lk/en/ad/maruti-suzuki-alto-2011-for-sale-kurunegala
Maruti Suzuki Alto 2015,"113,451 km","Colombo, Cars","Rs 3,275,000",1 day,https://ikman.lk/en/ad/maruti-suzuki-alto-2015-for-sale-colombo-442
Suzuki Alto Special Edition 2004,"199,000 km","Matara, Cars","Rs 2,375,000",1 day,https://ikman.lk/en/ad/suzuki-alto-special-edition-2004-for-sale-matara
Suzuki Alto Sport 2010,"90,000 km","Gampaha, Cars","Rs 2,600,000",2 days,https://ikman.lk/en/ad/suzuki-alto-sport-2010-for-sale-gampaha-178
Suzuki Alto 2004,"117,000 km","Colombo, Cars","Rs 3,250,000",2 days,https://ikman.lk/en/ad/suzuki-alto-2004-for-sale-colombo-538
Suzuki Alto 2005,"97,000 km","Gampaha, Cars","Rs 2,250,000",2 days,https://ikman.lk/en/ad/suzuki-alto-2005-for-sale-gampaha-170
Suzuki Alto 2017,"78,000 km","Colombo, Cars","Rs 5,500,000",2 days,https://ikman.lk/en/ad/suzuki-alto-2017-for-sale-colombo-950
Suzuki Alto Japan 2016,"102,000 km","Colombo, Cars","Rs 5,395,000",2 days,https://ikman.lk/en/ad/suzuki-alto-japan-2016-for-sale-colombo-589
Suzuki Alto LXi800 2015,"79,000 km","Gampaha, Cars","Rs 3,325,000",2 days,https://ikman.lk/en/ad/suzuki-alto-lxi800-2015-for-sale-gampaha-5
Suzuki Alto 2015,"30,100 km","Gampaha, Cars","Rs 3,500,000",4 days,https://ikman.lk/en/ad/suzuki-alto-2015-for-sale-gampaha-4583
Suzuki Alto K10 2016,"107,521 km","Ratnapura, Cars","Rs 4,250,000",4 days,https://ikman.lk/en/ad/suzuki-alto-k10-2016-for-sale-ratnapura
Suzuki Alto 2015,"98,000 km","Colombo, Cars","Rs 3,300,000",4 days,https://ikman.lk/en/ad/suzuki-alto-2015-for-sale-colombo-8047
Suzuki Alto 2018,"25,000 km","Colombo, Cars","Rs 6,400,000",4 days,https://ikman.lk/en/ad/suzuki-alto-2018-for-sale-colombo-207
Suzuki Alto 800 2015,"65,282 km","Gampaha, Cars","Rs 3,325,000",5 days,https://ikman.lk/en/ad/suzuki-alto-800-2015-for-sale-gampaha-1090
Suzuki Alto 2017,"79,000 km","Gampaha, Cars","Rs 5,790,000",6 days,https://ikman.lk/en/ad/suzuki-alto-2017-for-sale-gampaha-470
Suzuki Alto Japan 2016,"110,000 km","Colombo, Cars","Rs 5,285,000",6 days,https://ikman.lk/en/ad/suzuki-alto-japan-2016-for-sale-colombo-588
Suzuki Alto 2015,"64,847 km","Jaffna, Cars","Rs 4,475,000",6 days,https://ikman.lk/en/ad/suzuki-alto-k10-2015-for-sale-jaffna
Suzuki Alto (Japan) 2004,"133,000 km","Colombo, Cars","Rs 3,150,000",6 days,https://ikman.lk/en/ad/suzuki-alto-japan-2004-for-sale-colombo-467
Suzuki Alto AUTOMATIC 2016,"125,341 km","Gampaha, Cars","Rs 5,290,000",8 days,https://ikman.lk/en/ad/suzuki-alto-automatic-2016-for-sale-gampaha
