0,1,2,3,4,5
Suzuki Alto japan 2004,"127,000 km","Matara, Cars","Rs 3,275,000",7 minutes,https://ikman.lk/en/ad/suzuki-alto-japan-2004-for-sale-matara-16
Honda Civic 2018,"72,000 km","Colombo, Cars","Rs 15,450,000",11 minutes,https://ikman.lk/en/ad/honda-civic-2018-for-sale-colombo-459
Toyota CHR GT LED NGX50 2017,"31,000 km","Colombo, Cars","Rs 15,450,000",11 minutes,https://ikman.lk/en/ad/toyota-chr-gt-led-ngx50-2017-for-sale-colombo-13
Mitsubishi Lancer CK2 Sport 2004,"160,000 km","Gampaha, Cars","Rs 4,150,000",12 minutes,https://ikman.lk/en/ad/mitsubishi-lancer-ck2-sport-2004-for-sale-gampaha
Land Rover Range Sport HSE 2011,"187,000 km","Colombo, Cars","Rs 26,000,000",14 minutes,https://ikman.lk/en/ad/land-rover-range-sport-hse-2011-for-sale-colombo-13
Toyota Axio WXB 2017,"106,000 km","Colombo, Cars","Rs 14,090,000",18 minutes,https://ikman.lk/en/ad/toyota-axio-wxb-2017-for-sale-colombo-1672
Kia Picanto 2016,"88,000 km","Colombo, Cars","Rs 5,990,000",29 minutes,https://ikman.lk/en/ad/kia-picanto-2016-for-sale-colombo-769
Tesla Model 3 FACE LIFT 2024,60 km,"Colombo, Cars","Rs 42,500,000",36 minutes,https://ikman.lk/en/ad/tesla-model-3-face-lift-2024-for-sale-colombo-10
Mitsubishi Lancer EVOLUTION X SST 2014,"47,000 km","Colombo, Cars","Rs 18,590,000",40 minutes,https://ikman.lk/en/ad/mitsubishi-lancer-evolution-x-sst-2014-for-sale-colombo-2
Mitsubishi Lancer EVOLUTION X SST 2011,"80,000 km","Colombo, Cars","Rs 16,590,000",43 minutes,https://ikman.lk/en/ad/mitsubishi-lancer-evolution-x-sst-2011-for-sale-colombo-2
Micro Panda Airbag Version 2015,"70,303 km","Colombo, Cars","Rs 2,975,000",1 hour,https://ikman.lk/en/ad/micro-panda-airbag-version-2015-for-sale-colombo
Toyota Tercel 1996,"75,000 km","Ratnapura, Cars","Rs 2,550,000",1 hour,https://ikman.lk/en/ad/toyota-tercel-1996-for-sale-ratnapura-2
Toyota Raize 4WAY CAM 45000KM 2020,"45,000 km","Colombo, Cars","Rs 14,590,000",1 hour,https://ikman.lk/en/ad/toyota-raize-4way-cam-45000km-2020-for-sale-colombo
DFSK Glory 580 TURBO 35000KM 2021,"30,000 km","Colombo, Cars","Rs 9,490,000",1 hour,https://ikman.lk/en/ad/dfsk-glory-580-turbo-35000km-2021-for-sale-colombo
BMW 318i 2017,"52,650 km","Colombo, Cars","Rs 22,500,000",1 hour,https://ikman.lk/en/ad/bmw-318i-2017-for-sale-colombo-162
Mazda Tribute 2003,"120,000 km","Matale, Cars","Rs 5,500,000",1 hour,https://ikman.lk/en/ad/mazda-tribute-2003-for-sale-matale-1
Ford Raptor Ranger XLT 2014,"190,000 km","Colombo, Cars","Rs 19,150,000",1 hour,https://ikman.lk/en/ad/ford-raptor-ranger-xlt-2014-for-sale-colombo
Honda Civic EX L/MILEAGE 16000KM 2019,"16,000 km","Colombo, Cars","Rs 16,590,000",1 hour,https://ikman.lk/en/ad/honda-civic-ex-l-mileage-16000km-2019-for-sale-colombo
Toyota CHR GT NGX10 50000KM 2019,"50,000 km","Colombo, Cars","Rs 17,290,000",1 hour,https://ikman.lk/en/ad/toyota-chr-gt-ngx10-50000km-2019-for-sale-colombo-4
Toyota Premio G SUPERIOR 49000KM 2019,"49,000 km","Colombo, Cars","Rs 19,500,000",1 hour,https://ikman.lk/en/ad/toyota-premio-g-superior-49000km-2019-for-sale-colombo
BMW X1 X LINE 45000KM 2019,"45,000 km","Colombo, Cars","Rs 27,990,000",1 hour,https://ikman.lk/en/ad/bmw-x1-x-line-45000km-2019-for-sale-colombo-1
BMW X1 M SPORT 25000KM 2018,"25,000 km","Colombo, Cars","Rs 27,990,000",1 hour,https://ikman.lk/en/ad/bmw-x1-m-sport-25000km-2018-for-sale-colombo
Daihatsu Atrai Wagon Full Options 2016,"3,000 km","Colombo, Cars","Rs 6,650,000",1 hour,https://ikman.lk/en/ad/daihatsu-atrai-wagon-full-options-2016-for-sale-colombo-2
Isuzu Bighorn 2002,"150,000 km","Colombo, Cars","Rs 7,500,000",1 hour,https://ikman.lk/en/ad/isuzu-bighorn-2002-for-sale-colombo
Daihatsu Atrai Wagon Full Options 2016,"3,000 km","Colombo, Cars","Rs 6,630,000",1 hour,https://ikman.lk/en/ad/daihatsu-atrai-wagon-full-options-2016-for-sale-colombo-1
