0,1,2,3,4,5
Toyota Premio 2011,"141,000 km","Colombo, Cars","Rs 10,900,000",35 minutes,https://ikman.lk/en/ad/toyota-premio-2011-for-sale-colombo-567
Toyota Axio WXB 2017,"72,500 km","Colombo, Cars","Rs 14,375,000",1 hour,https://ikman.lk/en/ad/toyota-axio-wxb-2017-for-sale-colombo-1671
Toyota Corolla 2006,"270,000 km","Colombo, Cars","Rs 6,500,000",1 hour,https://ikman.lk/en/ad/toyota-corolla-2006-for-sale-colombo-10
Toyota CHR GT LED NGX50 2017,"31,000 km","Colombo, Cars","Rs 15,450,000",2 hours,https://ikman.lk/en/ad/toyota-chr-gt-led-ngx50-2017-for-sale-colombo-13
Toyota Axio WXB 2017,"106,000 km","Colombo, Cars","Rs 14,090,000",2 hours,https://ikman.lk/en/ad/toyota-axio-wxb-2017-for-sale-colombo-1672
Toyota Tercel 1996,"75,000 km","Ratnapura, Cars","Rs 2,550,000",3 hours,https://ikman.lk/en/ad/toyota-tercel-1996-for-sale-ratnapura-2
Toyota Raize 4WAY CAM 45000KM 2020,"45,000 km","Colombo, Cars","Rs 14,590,000",3 hours,https://ikman.lk/en/ad/toyota-raize-4way-cam-45000km-2020-for-sale-colombo
Toyota CHR GT NGX10 50000KM 2019,"50,000 km","Colombo, Cars","Rs 17,290,000",3 hours,https://ikman.lk/en/ad/toyota-chr-gt-ngx10-50000km-2019-for-sale-colombo-4
Toyota Premio G SUPERIOR 49000KM 2019,"49,000 km","Colombo, Cars","Rs 19,500,000",3 hours,https://ikman.lk/en/ad/toyota-premio-g-superior-49000km-2019-for-sale-colombo
"Toyota Corolla , 1976","394,800 km","Colombo, Cars","Rs 990,000",3 hours,https://ikman.lk/en/ad/toyota-corolla-1976-for-sale-colombo-49
Toyota Vitz P/Start 1300cc 2010,"150,000 km","Colombo, Cars","Rs 6,250,000",4 hours,https://ikman.lk/en/ad/toyota-vitz-p-start-1300cc-2010-for-sale-colombo
Toyota Axio G GRADE 2015,"79,000 km","Gampaha, Cars","Rs 11,590,000",4 hours,https://ikman.lk/en/ad/toyota-axio-g-grade-2015-for-sale-gampaha-1011
